-1.057,0.1756,0.88026,-0.8701,-0.17561,-0.88026
-1.0753,0.17865,0.89556,-0.88522,-0.17866,-0.89555
-1.0936,0.18169,0.91078,-0.90026,-0.1817,-0.91078
-1.1118,0.18471,0.92592,-0.91523,-0.18472,-0.92591
-1.1298,0.18771,0.94097,-0.9301,-0.18772,-0.94096
-1.1478,0.19069,0.95592,-0.94488,-0.1907,-0.95591
-1.1656,0.19366,0.97077,-0.95956,-0.19367,-0.97076
-1.1833,0.1966,0.98551,-0.97413,-0.19661,-0.9855
-1.2009,0.19951,1.0001,-0.98858,-0.19952,-1.0001
-1.2183,0.20241,1.0146,-1.0029,-0.20242,-1.0146
-1.2356,0.20527,1.029,-1.0171,-0.20528,-1.029
-1.2526,0.20811,1.0432,-1.0312,-0.20812,-1.0432
-1.2696,0.21092,1.0573,-1.0451,-0.21093,-1.0573
-1.2863,0.21371,1.0713,-1.0589,-0.21371,-1.0713
-1.3028,0.21646,1.085,-1.0725,-0.21646,-1.085
-1.3192,0.21917,1.0987,-1.086,-0.21918,-1.0987
-1.3354,0.22186,1.1121,-1.0993,-0.22186,-1.1121
-1.3513,0.2245,1.1254,-1.1124,-0.22451,-1.1254
-1.367,0.22712,1.1385,-1.1253,-0.22712,-1.1385
-1.3825,0.22969,1.1514,-1.1381,-0.22969,-1.1514
-1.3977,0.23222,1.1641,-1.1506,-0.23223,-1.1641
-1.4128,0.23472,1.1766,-1.163,-0.23472,-1.1766
-1.4275,0.23717,1.1889,-1.1751,-0.23717,-1.1889
-1.442,0.23958,1.2009,-1.1871,-0.23958,-1.2009
-1.4562,0.24194,1.2128,-1.1988,-0.24195,-1.2128
-1.4702,0.24426,1.2244,-1.2103,-0.24426,-1.2244
-1.4839,0.24653,1.2358,-1.2215,-0.24653,-1.2358
-1.4972,0.24875,1.2469,-1.2325,-0.24876,-1.2469
-1.5103,0.25093,1.2578,-1.2433,-0.25093,-1.2578
-1.5231,0.25305,1.2685,-1.2538,-0.25305,-1.2685
-1.5355,0.25512,1.2788,-1.2641,-0.25512,-1.2788
-1.5477,0.25713,1.2889,-1.274,-0.25713,-1.2889
-1.5594,0.25909,1.2987,-1.2837,-0.25909,-1.2987
-1.5709,0.26099,1.3083,-1.2932,-0.26099,-1.3083
-1.582,0.26284,1.3175,-1.3023,-0.26284,-1.3175
-1.5927,0.26462,1.3265,-1.3112,-0.26463,-1.3265
-1.6031,0.26635,1.3351,-1.3197,-0.26635,-1.3351
-1.6131,0.26801,1.3435,-1.328,-0.26801,-1.3435
-1.6228,0.26961,1.3515,-1.3359,-0.26961,-1.3515
-1.632,0.27115,1.3592,-1.3435,-0.27115,-1.3592
-1.6409,0.27262,1.3666,-1.3508,-0.27262,-1.3666
-1.6493,0.27402,1.3736,-1.3577,-0.27402,-1.3736
-1.6573,0.27535,1.3803,-1.3643,-0.27535,-1.3803
-1.6649,0.27662,1.3866,-1.3706,-0.27662,-1.3866
-1.6721,0.27781,1.3926,-1.3765,-0.27781,-1.3926
-1.6789,0.27893,1.3982,-1.382,-0.27893,-1.3982
-1.6852,0.27998,1.4034,-1.3872,-0.27998,-1.4034
